,cvssV3_confidentialityImpact_HIGH,cvssV3_confidentialityImpact_LOW,cvssV3_confidentialityImpact_NONE,cvssV3_attackComplexity_HIGH,cvssV3_attackComplexity_LOW,cvssV3_privilegesRequired_HIGH,cvssV3_privilegesRequired_LOW,cvssV3_privilegesRequired_NONE,cvssV3_baseSeverity_CRITICAL,cvssV3_baseSeverity_HIGH,cvssV3_baseSeverity_LOW,cvssV3_baseSeverity_MEDIUM,cvssV3_userInteraction_NONE,cvssV3_userInteraction_REQUIRED,cvssV3_scope_CHANGED,cvssV3_scope_UNCHANGED,cvssV3_availabilityImpact_HIGH,cvssV3_availabilityImpact_LOW,cvssV3_availabilityImpact_NONE,cvssV3_integrityImpact_HIGH,cvssV3_integrityImpact_LOW,cvssV3_integrityImpact_NONE,cvssV3_attackVector_ADJACENT_NETWORK,cvssV3_attackVector_LOCAL,cvssV3_attackVector_NETWORK,cvssV3_attackVector_PHYSICAL,CVSS3_Base_Score
count,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0,67113.0
mean,0.5891407029934588,0.19316674861800248,0.21769254838853874,0.08493138438156542,0.9150686156184346,0.058140747694187415,0.2602774425223131,0.6815818097834995,0.1532936986872886,0.43691982179309524,0.017090578576430794,0.39269590094318535,0.6323812078136873,0.36761879218631266,0.16683801945971719,0.8331619805402828,0.5867268636478774,0.025241011428486285,0.38803212492363626,0.5141775810945718,0.1766423792707821,0.309180039634646,0.020711337594802794,0.2279886162144443,0.7405569710786286,0.010743075112124328,7.26075574031487
std,0.49199343673058943,0.39478561034277176,0.41268031253143805,0.2787816392152797,0.2787816392152797,0.23401114739956294,0.43878920254391324,0.46586616122484126,0.3602730556566723,0.49600862587577843,0.12960995720114343,0.4883537487060009,0.48216042953182625,0.48216042953182625,0.3728339656377694,0.3728339656377694,0.492424678670493,0.15685748110979725,0.4873055850927085,0.4998026793797966,0.38136860940255374,0.46215898269184424,0.14241727530979917,0.4195383530967097,0.4383323014866006,0.1030913178030296,1.645914193702591
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
25%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
50%,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.5
75%,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8.8
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
